ह्स्तयोः प्रयोगे
वर्तते वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् तमवर्षतः
तमवर्षपर्यन्तस्य लेखाः
सम्प्राप्ताः वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् श्रीरामकृष्णपरमहंसः
अस्मिन् विषये
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
इण्डियन् एन्टिक्वैरी
खण्डः वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् वर्षे
मोढवंशीयस्य जैनश्रेष्ठिनः
पत्न्या बहिडाबाई
इत्याख्यया पार्श्वनाथस्य
जिनालयः निर्मापितः
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षे पृथ्वीराजः
जेजाकभुक्तौ आक्रमणम्
अकरोत् तत्त्वानि
ज्येष्ठमासम् यावत्पर्यन्तम्
मानवाः अबोधन्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षे नरायनस्य
प्रथमं युद्धम्
अभवत् तमस्य
वर्षस्य जनवरी
मासस्य सप्तदशे
दिनाङ्के रमजानमासः
भवेत् तर्ह्येव
फारसीग्रन्थे उल्लिखितायाः
तिथेः प्रामाण्यं
सिध्यति शतमाने
काश्मीरमपि प्रसिध्दं
विद्याकेन्दमेव आसीत्
मईदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
एकशताधिकैकत्रिंशत्तमं दिनम्
मिल्लीमीटर्मितः वार्षिकवृष्टिपातः
होयसलराजा द्वितीयः
वीरबल्लालः कदाचित्
मृगयार्थं मर्गभ्रष्टः
अरण्ये आरक्षिताः
यवनसैनिकाः आकस्मिकरीत्या
हिन्दुसेनायाः आक्रमणम्
अकुर्वन् मीटर्
उन्नता पर्वतश्रेणी
सद्यः सृष्टा
वर्तते वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् तमवर्षपर्यन्तं
कालस्य लेखाः
उत्कीर्णाः सन्ति
समुद्भूतेनार्जुनवर्मणाऽत्र व्याख्या
लिखिता रविचन्द्रेणास्य
शतकस्याध्यात्मिकी व्याख्या
चतुर्थशतकोत्पन्नेन वेमभूपालेन
शतकस्य व्याख्यानायिकाभेदपरतया
रचिता वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् विक्रमसंवत्सरे
पृथ्वीराजस्य विजयेन
युद्धस्य अन्तः
अभवत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् तमस्य
विक्रमसंवत्सरस्य चैत्रमासस्य
शुक्लद्वितीययां वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् चातुर्वर्ण्यं
त्रयो लोकास्चत्वारश्चाश्रमाः
पृथक् वर्षे
देवानन्दसूरिणा जिनालये
भगवतः पार्श्वनाथस्य
प्रतिमा स्थापिता
तीर्थों ऐतिहासिक
अध्ययन वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् विक्रमसंवत्सरे
लिखितः राजस्थानराज्य
पर्वते स्थितात्
नेमिनाथमन्दिरात् प्राप्तः
शिलालेखः युद्धस्य
विवरणम् उदघोषयत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
अक्तूबरदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
द्विशताधिकपञ्चाशीतितमं दिनम्
आळ्वार्गळ् मध्ये
महिला अस्ति
आशापाशशतैः दिनानन्तरं
बङ्गालउपसागरे तदस्माभिः
प्राप्तम् नवम्बरदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य त्रिशताधिकषोडशं
दिनम् मालिनी
प्रतिपादे पञ्चदशाक्षराणि
भवन्ति कल्याणं
स्वर्गम् अतिशेते
मलयालभाषया साहित्यं
रचितम् प्रजापत्यम्
प्रजापतिभ्यः समुद्भवाः
सन्ति वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् प्रथमः
बुक्कराजः मधुरैप्रदेशस्य
देहलीसुल्तानान् पराजितवान्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षे विजयनगरसाम्राज्येन
प्रदेशः नायकाः
मण्डलस्य अधिकारेण
नियोजिताः वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् कर्तृत्वात्
सगुणं ब्रह्म
पुरुषर्षभम् ब्रह्म
प्रधनम् जगज्जन्मादिकारणं
ब्रह्मैव प्रधानमित्यघोषयता
भगवता बादरायणेन
अद्वैत्यभिमतं निर्गुणं
ब्रह्म प्रधानमिति
समर्थैतम् नवम्बरदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य त्रिशताधिकसप्तदशं
दिनम् पञ्चैतानि
महाबाहो प्रैषे
विसृजति विधिहीनमसृष्टान्नं
वर्षे पञ्चत्वमगात्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
शतकेषु कुमारवाल्मीकिः
कन्नडभाषया तोरवे
रामायणमलिखत् शतकेषु
श्रेष्ठयोगिनः अस्मिन्
प्रदेशे आधुनिकगणितप्रतिपाद्यमानादपि
मौल्यात् निष्कृष्टतरं
मौल्यं दत्त्वापि
आर्यभटः आसन्नम्
ब्रवीति वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् कान्हड
प्रबन्ध इत्यस्य
काव्यस्य रचयिता
पद्मनाभः वर्तते
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
आयुर्वेदोपदेशेषु विेधेयः
परमादरः कोटिः
जनसङ्ख्या अस्ति
प्रशासकीयानि अञ्चलानि
समुदायेषु विभक्तानि
सन्ति तान्येव
विकाशक्षेत्राणि इत्युच्यन्ते
सदुपदेशान्यपि काव्येस्मिन्
विद्यन्ते शिखरिणी
प्रतिपादे सप्तदशाक्षराणि
भवन्ति साक्षराः
ऊनषड्वर्षियाः क्रैस्ताब्दे
सिंहासनमारुढवान् महावीरः
लिखितः वर्तते
ऋग्वेदः मधुकर्कटीवृक्षः
भारते वर्धमानः
कश्चन वृक्षविशेषः
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
आब्रह्मभुनाल्लोका पुनरावर्तिनोऽर्जुन
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
पारसेल्सस् कश्चन
रसायनशास्त्रस्य विज्ञानी
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
अक्तूबरदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
द्विशताधिकाष्टाशीतितमं दिनम्
अगस्तदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
द्विशताधिकसप्तविंशतितमं दिनम्
अङ्कविजयेन क्रीडा
जीयते तत्रायं
पणोऽस्ति विपक्षाद्
न्यूनान्यूनौ द्वावङ्कावधिकं
भवेताम् आढयोऽभिजनवान्
निर्मितं शिवमन्दिरम्
अस्ति घाटीप्रवणताभूमेः
उपयोगः कृषये
करणीयः त्यागे
सन्न्यसति बहिरन्तःअ
भूतां मईदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य एकशताधिकपञ्चत्रिंशत्तमं
दिनम् शताब्दस्य
उत्तरार्धत शताब्दस्य
पूर्वार्धं यावत्
मानसिंह आसीत्
वर्षे गैलीलियो
गैलिलीद्वारा खगोलीयप्रेक्षणस्य
आरम्भःकृतः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
शतकस्य संस्कृतकविः
जगन्नाथः अत्रत्यः
वर्षे सेप्टेम्बर्मासे
इहलोकम् अत्यजत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वत्सरे विश्वक्रीडोत्सवे
वंशेऽपि परिवर्तनमभूत
वर्षे विश्वक्रीडासु
फाइवर ग्लास
नामकस्य विशिष्टरीत्या
निर्मितस्य वंशखण्डस्य
प्रयोग आदृतः
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
ईशवीयाब्दे शाहजहानः
स्वराष्ट्रे नूतनदेवालयानां
निर्माणं करणीयमिति
आदेशं कृतवान्
तमस्य वर्षस्य
मासस्य दशम्यां
विजयसेनसूरिणा तीर्थस्य
जीर्णोद्धारः कारितः
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षे बाढुक
इत्याख्येन तीर्थस्य
जीर्णोद्धारं कृत्वा
नूतनं मन्दिरं
निर्मापितम् वर्षः
ग्रेगोरीकालगणनायाम् अधिवर्षः
आसीत् पद्यैः
परिगुम्फितमिदं महाकव्यं
संस्कृतसाहित्ये विराजते
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
तमस्य वर्षस्य
उत्कीर्णः अस्ति
वर्षे एतस्य
निर्माणं समाप्तम्
वर्षे शौरीपुरे
जिनालयाः वर्षं
ग्रेगोरीकालगणनायाम् साधारणवर्षम्
आसीत् वर्षं
ग्रेगोरीकालगणनायाम् साधारणवर्षम्
आसीत् वर्षे
एतादृशद्विव्यसङ्घटनसमये शिवराजस्य
चत्वारिंशत् वर्षाणि
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
आनुपूर्व्याम् अनुक्रमति
जनपदान् दर्शयत्
मानचित्रम् मल्लाः
बौद्ध जैनलेखेषु
पौनःपुन्येन उल्लिखिताः
सन्ति जनवरीदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य षोडशं
दिनम् डेवलप्मेण्त्
ब्लाक्स् तत्रैवं
कर्तारमात्मानं फरवरीदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य सप्तचत्वारिंशत्तमं
दिनम् नीराजयेत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
तमात् वर्षात्
अधोगतिं प्राप्नुवत्
एतत्साम्राज्यं प्रथमस्वातन्त्र्यसङ्ग्रामकाले
सम्पूर्णतया अनश्यत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
दोस्त मुहम्मद
इत्याख्येन भोपालं
दुर्गवत् निर्माय
नगरम् अन्तर्कृतम्
वर्षे भट्टारकविद्याभूषणेन
दिगम्बरमन्दिरस्य प्रतिष्ठा
तीर्थों ऐतिहासिक
अध्ययन संवत्सरे
नवम्बर् डहाणूदुर्गं
चिमाजी जनवरी
दिनाङ्के संवत्सरे
माहिमनगरम् अमुञ्चत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
तमवर्षस्य शिलालेखः
नास्ति वर्षे
प्लास्सीसङ्ग्रामस्य अनन्तरम्
प्रदेशः ब्रिटिश्ईस्ट्इण्डियासंस्थया
वशीकृतः वर्षे
विजयनगरबोब्बिलिराजयोः बोब्बिलिमहासङ्ग्रामः
समभूत् वर्षं
ग्रेगोरीकालगणनायाम् साधारणवर्षम्
आसीत् वर्षे
कौपीनेश्वरदेवालयस्य पुनरुज्जीवनं
कृतम् वर्षे
गृहमन्त्री अभवत्
तमस्य वर्षस्य
अप्रैलमासस्य त्रिंशत्तमे
दिनाङ्के एतस्य
प्रमुखीयप्रजातन्त्रस्य आरम्भः
अमेरिकादेशे अभवत्
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षे सिन्ध्यकुलीयाः
वशीकृतवन्तः वर्षं
ग्रेगोरीकालगणनायाम् साधारणवर्षम्
आसीत् जनवरीदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य सप्तदशं
दिनम् ग्रामेषु
प्रतिशतं स्त्रीणां
साक्षरतामानं प्रसाधने
चन्दनेन अनुलिम्पति
मार्चदिनाङ्कः ग्रेगोरीयन
पञ्चाङ्गानुसारं वर्षस्य
षट्सप्ततितमं दिनम्
इङ्ग्लेण्ड्देशे काफीपेयं
राजकीयविद्रोहिभिः केवलम्
उपयुज्यते निषिद्धम्
आसीत् सितम्बरदिनाङ्कः
ग्रेगोरीयन पञ्चाङ्गानुसारं
वर्षस्य द्विशताधिकषष्टितमं
दिनम् तमस्य
वर्षस्य समीपे
अमेरिकादेशे सन्तरणस्य
स्पर्धा आरब्धा
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
अधिवर्षः आसीत्
वर्षे प्रवृत्तः
सैन्यक्षोभः तमवर्षस्य
प्रथमस्वातन्त्र्यसङ्ग्रामस्य पूर्वभावित्वेन
लक्ष्यते वर्षे
अहमदशाह इत्याख्येन
राज्ञा महताबचन्दाय
मधुवन जयपारनाला
इत्यादिनी स्थलानि
उपहारस्वरूपेण प्रदत्तानि
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षे प्रवृत्ते
तृतीये आङ्ग्लोमराठायुद्धे
अन्तिमः पेश्वे
द्वितीयः बाजीरायः
पराजयं प्राप्नोत्
वर्षे राममोहनेन
सतीप्रथायाः विषये
प्रथमः निबन्धः
लिखितः पर्यन्तं
महाराष्ट्रे आङ्ग्लाधिपत्यमासीत्
कोल्हापुरसंस्थानं स्वतन्त्रम्
आसीत् वर्षः
ग्रेगोरीकालगणनायाम् साधारणवर्षः
आसीत् तमस्य
वर्षस्य कित्तूरु
चेन्नम्मा इत्यस्याः
आङ्ग्लविरुद्धं युद्धम्
प्रप्रथमम् आङ्ग्लविरुद्धम्
आन्दोलनं गण्यते
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
वर्षे ब्रिटिश्ईस्ट्इण्डियासंस्थया
असमप्रदेशः आक्रान्तः
वर्षं ग्रेगोरीकालगणनायाम्
अधिवर्षम् आसीत्
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षः ग्रेगोरीकालगणनायाम्
साधारणवर्षः आसीत्
संवत्सरे आग्राप्रदेशस्य
उत्तरपश्चिमप्रदेशः नामकरणं
कृतवन्तः तमवर्षाभ्यन्तरे
लिखितानि चित्राणि
प्रकृतिप्रियान् आश्चर्यचकितान्
अकुर्वन् वर्षं
ग्रेगोरीकालगणनायाम् अधिकवर्षम्
आसीत् वर्षे
रामकुमारस्य परलोकप्राप्त्यां
सत्यां गदाधरः
मन्दिरस्य प्रधानपुरोहितरूपेण
अभिषिक्तः वर्षे
आभारतं चलत्स्वातन्त्र्यसङ्ग्रामस्य
प्रभाव मुम्बईनगरे
किञ्चिदिव आसीत्
वर्षे ब्रिटेनदेशस्य
सैनिकैः द्वारकाद्वीपः
आक्रान्तः आसीत्
भाद्रपदमासस्य शुक्लपक्षस्य
त्रयोदश्यां राजस्थान
राज्यस्य मारवाडक्षेत्रस्य
सिरियारीग्रामे सप्तसप्ततितमे
आचार्यभिक्षुः समाधिं
स्व्यकरोत् तमवर्षस्य
मार्चमासस्य दशमदिनाङ्के
ठाणापुरसभा अस्तित्वे
वर्षं ग्रेगोरीकालगणनायाम्
अधिवर्षम् आसीत्
तमस्य वर्षस्य
अप्रैलमासे कस्तूरबा
इत्यस्य अभूत्
वर्षे फ्रान्सिस्
गाल्ट्न् मानवानां
मानसिकं सामर्थ्यम्
विभिन्नेषु स्तरेषु
प्रत्यपादयत् वर्षे
अलेक्जन्डर कानिंहाम्
प्रथमवारं सिन्धुलिप्याम्
उत्कलितमुद्रां प्रकाशितवान्
वर्षे अलेक्जन्डर
कानिंहाम् प्रथमवारं
सिन्धुलिप्यां उत्कलितमुद्रां
प्रकाशितवान् वर्षे
तन्नाम षोडशे
जातस्य आत्मप्रज्ञानुभवस्य
अनन्तरं शास्वतरुपेण
अरुणाचलं प्रति
तिरुवण्णामलै आगतवान्
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षं ग्रेगोरीकालगणनायाम्
अधिवर्षम् आसीत्
वर्षे जनवरिमासस्य
एकादशे दिनाङ्के
थियोडोर् स्छ्वान्
इहलोकम् अत्यजत्
वर्षं परिवर्तनवर्षम्
अभवत् वर्षे
इदम्प्रथमतया मार्गः
निर्मितः वर्षे
हेलेन् इत्यस्याः
चार्ल्स् डिकेन्स्नामकस्य
लेखकस्य एमेरिकन्
नोट्स्नामकं पुस्तकम्
अपठत् एड्वर्ड्
क्याल्विन् केण्डल्
अन्तस्स्रावकग्रन्थीनां संशोधकः
वर्षं ग्रेगोरीकालगणनायाम्
अधिवर्षम् आसीत्
वर्षे कर्णाटके
तुमकूरुमण्डलस्य गुब्बिग्रामे
वीरण्णस्य अभवत्
हर्मन् जोसेफ्
म्यूल्लर् आनुवंशिकविज्ञानस्य
प्रवर्तकः वर्षे
मैसूरुमहाराजेनस्थापिते प्राच्यसंशोधनालये
कालावधौ लिखितस्य
पुस्तकस्य कश्चन
गुजरातीभाषा भारोपीयभाषापरिवारस्य
भारतीय इरानी
उपवर्गस्य भारतीयआर्यशाखायाम्
अन्तर्भूता वर्षे
दादाभाई नवरोजिवर्यः
ब्रिटिश् कामन्
सभार्थं प्रिन्स्बरि
क्षेत्रात् विजयी
जातःब्रिटिश् पार्लिमेण्ट्
मध्ये सदस्यत्वं
प्राप्तवान् यून्सेङ्ग्प्रदेशं
विहाय अवशिष्टाः
नागापर्वतप्रदेशाः ब्रिटिशसर्वकारस्य
अधीनाः वर्षे
रोनाल्ड् विरामकाले
इङ्ग्लेण्ड्देशं गतवान्
आसीत् प्याट्रिक्
म्यान्सनस्य मेलनम्
अकरोत् पर्यन्तं
रायल् सोसिट्याः
अध्यक्षः आसीत्
वर्षे अथेन्स्नगरे
ओलम्पिक् क्रीडोत्सवे
प्रथमवारं सन्तरणक्रीडायाः
स्पर्धा अट्टतः
सूर्यास्तस्य दृश्यं
नयनमनोहरम् अनभिहिते
कर्तरि तृतीया
स्यात् नियमे
संयमः शतकदारभ्य
प्रकारस्य वैशिष्ठ्यं
वर्धितमस्ति शतकस्य
पूर्वार्धे उत्तरार्धे
दिवङ्गत शतकेऽपि
परिसरोऽयं ख्यातकीर्तः
आसीत् तमस्य
वर्षस्य अप्रैलमासस्य
दिनाङ्के वर्षणां
दिवङ्गतः वर्षे
यात्रामहोत्सवः आरब्धः
वर्षे नैवेद्यकृतिं
वर्षे खेयनामिकां
कृतिञ्च प्राकाशयत्
वर्षं ग्रेगोरीकालगणनायाम्
साधारणवर्षम् आसीत्
वर्षे आत्मना
अनूदिताः कृतीः
स्वीकृत्य इञ्ग्लेण्ड्देशम्
अगच्छत् वर्षे
अक्टोबर् मासस्य
दिनाङ्के गुजरातराज्यस्य
आनन्दग्रामे त्रिभुवनदासस्य
अभवत् वर्षे
भारते बङ्गप्रदेशस्य
आन्दोलनं चलदासीत्
वर्षे मालदामण्डलं
राजशाहीविभागे आगतम्
एवञ्च स्वाधीनताप्राप्तिरवधिः
क्रैस्ताब्दः तस्मिनेव
विभागे आसीत्
तमस्य ग्रीष्मान्ते
टिहरीमण्डलं वत्सरे
मद्रास्नगरे विद्यमानायां
प्रेसिडेन्सीकलाशालायां साहाय्यकोपन्यासकः
अभीप्सितां वृत्तिम्
वर्षे क्रिस्टलराजभवने
बालिकाः बालचमूवस्त्रेण
विराजन्ते वर्षे
मद्रास् सर्वकारीये
कार्यालये ज्येष्ठभाषान्तरकाररूपेण
नियुक्तः वर्षे
औस्त्रियदेशस्य वियेननगरे
निधनं वर्षे
इण्टर् मीडियेट्
परीक्षायाम् उत्तीर्णः
वर्षे मेघनादः
गणितविषयम् अधिकृत्य
वर्षे महात्मा
कोलकाता समागतः
वर्षे मैसूरु
कब्बिण यन्त्रागारं
स्थापितम् वर्षे
ब्रिटिश्सर्वकारेण भारतसर्वकार
अधिनयमस्य आसीत्
तमात् वर्षात्
समाजस्य अनेकेषु
कार्येषु संलग्ना
अभवत् तमस्य
वर्षस्य फरवरीमासस्य
पञ्चमे दिनाङ्के
चोराचौरीकाण्डे द्वादशे
दिनाङ्के महात्मा
आन्दोलनम् अस्थगयत्
वर्षे एतस्याः
राज्यसभायाः अस्तित्वं
समाजस्य सम्मुखम्
आसीत् वर्षे
कोलकाताविश्वविद्यालयस्य उपकुलपतिः
आशुतोषमहोदयः मेघनादाय
पत्रम् अलिखत्
वर्षे हिटलरः
औपचारिक फ़्युररः
अनिर्वाचत् विल्हेल्म्
कार्नार्ड् रोण्ट्जेन्
एक्स्रे वैद्यकीये
क्षेत्रे क्षकिरणक्रमस्य
संशोधकः तमस्य
वर्षस्य मार्चमासस्य
अष्टादशे दिनाङ्के
महात्मनः कारावासस्य
एकवर्षं जातमासीत्
वर्षे द्युतिशास्त्रसम्बन्धिप्रबन्धेन
रामन् रायल्
सोसायिटीसंस्थायाः सदस्यः
घोषितः अभवत्
वर्षे महात्मगान्धिनः
अध्यक्षतायां काङ्ग्रेस
अधिवेशने कर्नाटकैकीकरणसम्मेलनम्
व्यवस्थापितम् अभवत्
वर्षे प्रचलितस्य
कन्नडसाहित्यसम्मेलनस्य अध्यक्षपीठम्
