घाइतेलाई सञ्चालकले
हुन्छ सेकेन्डमा
गरेका अन्तिम
स्थानमा झापामा
पत्रकार पौडेलको
अज्ञात समूहद्वारा
बीभत्स हत्या
माओवादी नेताहरूको
दोहोरो सुरक्षा
प्रणाली अन्त्य
नेताहरूको सुरक्षामा
खटिएका लडाकुको
हतियार शिविर
फिर्ता चीनद्वारा
पहिलोपटक पीतसागरमा
संयुक्त नौसैनिक
अभ्यास सरकारद्वारा
सार्वजनिक ठाउँमा
धूमपान निषेध
गर्ने सर्वोच्च
अदालतद्वारा पूर्वप्रधानमन्त्री
पूर्वराजपरिवार पूर्वमन्त्रीहरूले
राज्यकोषबाट लिएका
सुविधा खारेज
जनालाई रोजगारी
दिएको लेख्नुहोला
सम्ममा किन्दै
किसानहरू बताउँछन्
सम्पूर्ण पूर्णतया
नम्बर वडाका
घरधुरी समेट्ने
उहाँले गर्नुभयो
आयोजनाले लगायतका
बासिन्दालाई नछुने
उहाँले स्वीकार्नुभयो
नम्बर गे्रस
दिइने टुङ्गो
वर्षेनी नम्बर
गरिएको स्थानियवासी
स्वास्थ्य सेवाबाट
प्रत्यक्ष लाभान्वित
अहिले सामुदायिक
जङ्गलहरू फडानी
गर्दै भित्रभित्रै
जग्गा अतिक्रमण
भइरहेको चलचित्रमा
अभिनय गरिसकेका
अङ्ग्रेजीमा स्नातकोत्तर
चलचित्र क्षेत्रले
फड्को उल्लेख्य
परिवर्तन नसकेको
बताउँछन् मात्र
रहेको माओवादीलाई
नेपाल जनमुक्ति
पार्टीका नेपाली
राष्ट्रिय पार्टीको
परेको सांसद
रहेको माओवादीलाई
मधेशका समर्थन
बहुमत पुग्छ
हेक्टर नेपाली
सेनाको अधिकृत
क्याडेट भर्ना
गरिएकोमा लिखित
परीक्षा उत्तीर्ण
सङ्ख्या परमाणविक
धातुले लगातार
ऊर्जावान विकिरणहरू
फ्याँकिरहने भएकाले
सिमित हुन्छ
वर्षदेखि गाडेर
बसेको राजतन्त्रको
समाप्तिका मुलुकमा
गणतन्त्र घोषणा
वर्षसम्म आफूलाई
राष्ट्रियताको प्रतीक
नेपालको शाहवंशीय
राजसंस्थाले गर्दै
अवसानसँगै मिथ्या
साबित हुँदैछ
अङ्कमा भिलारियल
तेस्रो स्थानमा
अन्तिम रुपले
ठेकेदार कम्पनी
ब्ककगचभम च्ष्कपक
अर्बको बजेटमध्ये
अनुमान गर्दा
मन्त्रिपरिषद्ले सभासद्
मनोनीत गर्दा
तत्कालीन दलभित्रकै
घटकको हैसियतले
सद्भावना आनन्दीदेवीबाट
पूर्वमन्त्री गुप्तालाई
गरेपछि पक्षले
त्यसको विरोध
गर्दै आफूलाई
सातदलीय गठबन्धनबाटै
गरेको असारभित्र
सहमतिको सरकार
बहुमतको सरकार
गठनका दलहरूलाई
आह्वान गर्नेछन्
असारमा प्रसारित
कार्यक्रमका सम्बन्धमा
भोलिपल्ट सोधियो
कार्यक्रममा प्रमाण
नभएको कुरालाई
नेपाल टेलिभिजनको
व्यवस्थापनलाई लगाउनु
आधारमा बोल्नुभएको
असिञ्चित मिनेटमा
लामाको सशक्त
प्रहार धरानका
गोलकिपर खड्काले
भन्दा उठाउँछन्
सञ्चालन मुनाफा
गरेको ब्याङ्कको
सम्पन्न साधारणसभाले
निर्णय गरेको
प्रमुख सभासद्
रिजाल भन्छन्
प्रचारप्रसारको प्रश्नावलीको
जटिलता कार्यक्रम
स्थानको नमिलेकोले
सहभागिता अनुसार
गरिएको मन्त्रीपरिषदको
निर्णयहरुको वारेमा
जानकारी नदिएकोले
निजलाई सर्वोच्च
अदालत नियमावली
अनुसार गराइएको
कुराको जानकारी
सम्माननीय प्रधानमन्त्रीलाई
उपलब्ध गराउनु
एपिसि स्पेयर
पार्टस गर्ने
संसोधन संशोधित
सम्झौतालाई अनुमोदन
गर्ने निर्णय
बिदाइ अयोग्य
लडाकू अघिल्लो
शिविरमा भइसक्ने
उनीहरूलाई यातायात
बाटोखर्चसहित बसपार्कमा
छाडिनेछ कार्यक्रमका
सेनाको हेलिकोप्टर
अभ्यास गरिरहेको
प्रधानमन्त्रीको चुनावमा
दलहरुबीच सहमति
नसकेको माओवादी
उपाध्यक्ष नारायणकाजी
श्रेष्ठले बेलामा
आपसमा दुःखसुख
साटेर बस्लान्
पीडामा बाँचेकी
एक्ली महिलाकालागि
एकाकीपन कष्टकर
तेइसौं सम्मेलन
डल्लास टेक्सास
दिनअघि मात्र
नेपालीहरु उनीहरु
मार्फत दिनदेखि
एकाएक बेपत्ता
उर्मिलाका परिवार
आफन्तजन अवस्थाबारे
जानकारी नपाएपछि
चिन्तित बनेका
दिनपछि मात्र
नगरको हेवन्जाङ
विद्युतीय केन्द्रमा
दाहसंस्कार गरिएको
पटकको नकआउट
च्याम्पियन एथलेटिकले
मार्च अर्को
लेगमा जितको
राखेको प्रतिक्रिया
पठाउनको क्लिक
गर्नुहोस् रक्षासचिवद्वारा
नेपाली सेनामा
रिक्त सैन्य
भर्ती शान्तिसम्झाौता
विपरीत नभएको
भन्दै अन्मिन
प्रमुख मार्टिनलाई
पुसमा अर्थमन्त्रीको
कार्यकक्षमा नेतृत्वमा
विभिन्न उपसचिवसहित
बसेको बैठकले
निकासीका गरेको
पुनरावलोकन सिफारिस
पुसमा धरानबाट
महोत्सव जनकपुर
वीरगञ्ज पोखरा
नेपालगञ्ज हुँदै
राजधानी आइपुगेको
पुसमा पूर्व
प्रहरी महानिरीक्षक
किसनसिंह गुरुङको
कुसुन्तीस्थित लुटपाट
प्रतिशत बढाउने
सिफारिस गरेको
प्रतिशतले वृद्धि
गरेका प्रतिशतले
ह्रास प्रधानमन्त्री
बाबुराम भट्टराईद्वारा
समायोजन माओवादी
लडाकूको प्रक्रिया
बढाउने तयारी
रक्षा मन्त्रालयमार्फत्
सेनालाई निर्देशन
फागुन कालीदाससँग
विवाह सुभन्दाले
भनिन् सालका
फागुन उनीहरूको
सामूहिक हत्या
रुपैयाँ बराबरको
धनमाल लुटिएको
बर्षिय पुनले
प्रतियोगितामा राष्ट्रिय
कीर्तिमान स्वर्ण
जितेकी थिईन्
छक्का हानेका
महबुबलाई वसन्तले
रनआउट तत्काल
कार्यक्रम घोषणामा
भट्टराईले भनेका
खाद्य पदार्थको
मूल्य घटाइने
सहुलियत पसलहरु
खोलिने भदौमा
रेडियो सगरमाथामार्फत्
बीबीसी नेपाली
सेवामा अन्तर्वार्ता
प्रचण्ड दस्ताका
अनुसुची रहेको
संविधानमा मौलिक
हकहरू राज्यका
नितिहरू मन्त्रालय
बागमती अञ्चल
यातायात व्यवस्था
कार्यालय भूसंरक्षण
मन्त्रालय मार्च
स्थानीय पत्रकारसँगको
अन्तर्त्रिmयाले बैङ्ग्लोर
काठमाडौँबीचको सम्बन्धमा
थप्यो उफ्रिदै
स्वर्ण जित्दा
गोर्खा युनाइटेडका
पाण्डेले दीपज्योति
विद्या आश्रमका
अर्जुन विसीले
कांस्य मंसिरमै
सहमतिबाट कांग्रेस
हटेकाले सहमतिको
सम्भावना क्षीण
बन्दै माओवादी
उपाध्यक्ष कार्यदलका
सदस्य नारायणकाजी
श्रेष्ठ प्रकाशले
पत्रिकालाई सांगाकाराको
क्याच सुरेश
रैनाले छाड्नु
भारतका महँगो
त्यसपछि नियमित
खानुपर्ने औषधिमा
महिनाको जर्किनमा
राखेर मदिरा
बिक्रीका धनगढी
ल्याइँदै गरेको
अवस्थामा बरामद
गरेको अधिकृत
लक्ष्मण ढुङ्गानाले
बताउनुभयो वर्षअघि
उहाँकै निवास
ज्ञानेश्वर काठमाडौँमा
लिइएको विचार
अहिले समेटिएको
वर्षअघि किन्दा
तितेपातीका बुटाले
भरिएको ठाउँठाउँमा
बिगारेको ढुङ्ग्यान
अहिले मट्याइलो
हराभरा सूर्यप्रसादको
जैविक विविधताको
नमुना उपयोगी
बोटबिरुवा रोपिएका
वर्षअघि फिफामा
आउनुअघि स्विट्जरल्यान्डका
विभिन्न संस्थामा
व्यवस्थापन कार्यमा
सक्रिय वर्षको
उमेरमा इङ्ल्यान्डमा
राम्रो टोलीको
नेतृत्व गरिसकेकाले
उनलाई त्यसको
फाइदा वर्षको
उमेरमा वार्षिक
मोनलम प्रार्थनाद्ध
उत्सवको समयमा
जोखांग मन्दिर
ल्हासामा आफ्नो
फाइनल परीक्षा
वर्षदेखि माविमा
पढाउँछु वर्षमुनिको
प्रशिक्षक डेसमन्ड
बुलपिनसँग जिम्मेवारी
हुनेछ वर्षीय
शिक्षक दुलालले
यौनशोषण झुक्याएर
तस्बिर भिडियो
खिचेको पीडितले
बताएकी वर्षीया
निलिमा पेशाले
डिजाइनर वर्षीया
चौधरीले वर्षअघि
साउदी पतीलाई
फर्काउन भाडामा
आफैँले थालेको
सुनाइन वर्षीया
सृष्टि बेलायतमा
रहँदा मोडलिङमा
थिइन् वषर्ीया
सारापोभाको पहिरन
सामान्य वष्र्ाीय
सुन्दरी सानियाले
अवसरमा सुनाैलो
गुलाबी रङ्गको
परम्परागत हैदराबादी
पहिरन लगाउनेछिन्
जसलाई दुलाहाका
परिवारलाई अरुले
दिएका विधाको
अवार्ड कार्यक्रममा
उदियमान पोखरेली
प्रतिभामा हाँसुभन्दा
पनिबाट अधिकारी
देशको चिन्ताबाट
लिम्बू सर्वोत्कृष्ट
नवप्रतिभामा प्रिय
त्रि्रो सिउँदोमा
प्रकाश तिमिल्सिनाले
अवार्ड प्राप्त
सदस्यीय जिल्ला
शान्ति समिति
बितिसक्दा संयोजकको
अहिलेसम्म टुंगो
लाग्न सकेको
सञ्चार प्रतिष्ठानमा
न्यूनतम पारिश्रमिकको
व्यवस्था तत्काल
सर्वोच्च अदालतद्वारा
सरकारलाई अन्तरिम
डलरसम्म दिउसो
पर्सा विश्रामपुर
हरिनगरका हजराले
हिमाल दुःखेसो
साउनपछि दर्ुबई
दोहामा साप्ताहिक
थपिने हिनाभित्र
विमान भित्र्याउने
योजना रहेको
जानकारी कम्पनीले
दिएको साउनमा
कालीकोटको पिलीमा
मारिएका वेपत्ता
सिपाहीको सङ्ख्या
साउनमा नेपाल
पत्रकार महासंघ
धनुषाले सशस्त्र
समूहको समाचार
प्रकाशन नगर्ने
निर्णय सभासद्
केशवप्रसाद मैनाली
राजकुमार लिम्बूको
सभासद् खारेज
प्रत्यक्ष निर्वाचित
सभासद्हरूमा प्रतिशत
मात्र लक्ष्य
पछ्याएको अष्ट्रेलियार्इ
वर्षभन्दा जनताको
गरेपछि जनताले
छाडेर जाउभन्दा
रूपमा छाडियो
दुःखमनाउ भन्नुहुन्छ
वर्षसम्म राज्यले
जातिविशेषको मानमर्दन
गरेको उसलाई
निषेध गरिएको
संघीयताले त्यसको
भरणपोषण नगर्ने
वर्षे राजसंस्थाको
समाप्तिसँगै नेपाल
गणतन्त्रमा प्रवेश
प्रधानमन्त्रीकालमा बिक्री
हुनसकेको कात्तिकमा
आयोजित पहिलो
राष्ट्रिय महोत्सव
कालीगण्डकी र्‍याफटिङ
फेस्टिभल मार्फत
संस्थाहरूले वर्षपछि
कालीगण्डकीमा व्यावसायिक
जलयात्रालाई पुनरागमन
गराएका जेठमा
राजधानीमा महोत्सवमा
नेपालभित्रका जनजाति
समुदायका चलचित्र
वृत्तचित्र नेपाल
बाहिर देशका
चलचित्र वृत्तचित्रहरू
प्रदर्शन व्यापारघाटा
भैसकेको लक्ष्य
पछ्याएको नेपालले
निर्धारित ओभरको
समाप्तिमा विकेट
गुमाउँदै बनाएपछि
बराबरीमा टुङ्गिएको
हालेर टेलिकमको
चुनौटी पछ्याएको
अङ्कले वृद्धि
अन्तिम अप्रिल
सम्झौता गर्दा
लिखित रूपमा
प्रतिशत देखाइए
गैरकानुनी रूपमा
प्रतिशत कमिसन
दिइएको प्रतिवेदनमा
उल्लेख करोडले
बचतमा रहेको
अघिल्लो वर्षको
अवधिमा यस्तो
निक्षेप सङ्कलन
अर्बबराबरको कारोबार
बढ्थ्यो प्रधानमन्त्री
नेपालले बच्चा
अपहरणको आरोपमा
चपाचोमा स्थानीय
बासिन्दाको कुटाइबाट
काठमाडौंको जडिबुटी
सुकुम्बासी टोलका
महतको हत्या
दिनपछि थिमीका
घाइते बसन्त
लामाको मृत्यु
असारमा थिमीको
चपाचोमा मारिएका
मगरकी शिरकुमारीदश
महिनासम्म सत्ताधारी
गठबन्धन दलहरूबीचको
अन्तरद्वन्द्वबाट तात्कालीन
प्रधानमन्त्री पुष्पकमल
दाहाल वैशाख
आइपुग्दा लत्तो
छोड्ने अवस्थामा
पुगिसकेका जोडेको
फ्रेन्ड्स छैटौं
जावलाखेल स्थानमा
अंकले अंकले
ह्रास मिनेटमा
गरेको जावलाखेलले
अग्रता जोगाइराख्न
अवधिभर संघर्ष
गर्नुपर्‍यो मिनेटमा
प्रदीपले डिफेन्सको
गल्तीको फाइदा
उठाउँदै गरेको
प्रहारलाई विशालले
गरेका बराबरको
जडिबुटी निकासी
प्रकारभन्दा जडिबुटी
सङ्कलन मध्यपश्चिमाञ्चलका
विभिन्न जिल्लाबाट
महिनासम्म जडिबुटी
निकासी नेपाल
जडिबुटी व्यवसायी
बाँकेका अध्यक्ष
मधुकर थापाले
बताएका कात्तिक
भन्सार कार्यालय
भित्र्याइएको काठमाडौं
जाँदै गरेकोे
नम्बरको भैरहवास्थित
नेपाल राष्ट्र
ब्याङ्क अगाडि
पक्राउ परेपछि
प्रज्ञापनपत्रमा उल्लिखित
भन्दा भेटियो
कात्तिकः रौतहट
परोहा डुमरियाका
दर्ुइ डकैती
किलोमिटर सडकखण्ड
मसान्तसम्म सम्पन्न
भइसक्नुपर्ने घण्टामा
घण्टा बत्ती
कम्प्युटर चलाउन
नसकिने सहायक
प्रमुख जिल्ला
अधिकारी गोविन्दसिंह
भण्डारीले बताउनुभयो
घण्टामा घण्टा
मात्र बत्ती
भोलिदेखि रुम्जाटार
सांस्कृतिक पर्यटकीय
महोत्सवलाई ध्यानमा
राखेर ओखलढुङ्गा
सदरमुकाम आसपासका
गाउामा वितरण
गरिएको विद्युत्
काटिएपछि ओखलढुङ्गा
अन्धकारमय बनेको
घण्टा जेन्टलम्यान
करोडभन्दा हेरिएको
घण्टा वित्दा
माओवादीको पूर्वयोजनामा
नदेखेपछि त्यसलाई
औपचारिक रुपमा
पारित गरेको
घन्टाभित्र सच्चिने
चेतावनी दिनका
जनतालाई सत्यतथ्य
पस्कदाँपस्कदै फूलेका
कुन्द दीक्षितलाइ
मुक्याउनै पत्रकारितामा
पसिना बगाएका
दिक्षितमाथि मुक्का
प्रहार कस्तो
सम्मान गरेको
माओवादीले घन्टा
लोडसेडिङ कहिले
बढ्ने तालिका
भित्तामा टाँसुला
भन्ने पीरबाट
मुक्ति मिलोस्
घन्टा विमानको
आवागमन भएपछि
अनुमति दिएका
वायुसेवाले गर्ने
नेपाल चाहनेका
हवाईटिकट नपाउने
समस्या समाप्त
घन्टासम्म अपरेसन
थिएटर गर्नुपथ्र्यो
घन्टे ब्याक
सुविधासहित न्युरोड
सुन्धारा त्रिपुरेश्वर
कालिमाटी घन्टाघर
पुरानो बसपार्क
जावलाखेल लगनखेललगायत
ठाउँमा विभागले
ट्राफिक गरेको
चैतमा पक्राउ
परेका ज्वालासिंह
समूहका कार्यकर्ता
लक्ष्मण मण्डलले
स्थानीय प्रशासनले
आयोजना गरेको
पत्रकार सम्मेलनमा
आफ्नो समूहसँग
सप्तरी जिल्लाभरि
मात्र कार्यकर्ता
जानकारी दिँदै
धम्कीको मात्र
चलिरहेको स्वीकार
गरेका जनाको
दरबन्दी चौकीमा
प्रहरीहरू खेलेर
बिताउँछन् समस्या
बिसाउन स्थानीय
बासिन्दाहरू चाहिँ
चौकीदेखि मावादी
कार्यालयमा जान्छन्
जनाको फिनल्यान्ड
टोलीका आधारशिविरसम्म
पुगेकोमा जनाले
मात्र सफलता
हासिल गरेका
सभापतिले तुरुन्तै
वक्तव्य गरेका
अहिले कतिपय
जिल्ला भ्रातृसंस्थाका
आआफ्नो साइनबोर्ड
कार्यालय यथावत्
जिल्लामा आन्दोलन
समिति गरेको
क्रान्तिकारी अभिवादनसहित
जेठमा अल्पसङ्ख्यक
सीमान्तकृत समुदायको
अधिकार संरक्षण
समितिले सभामा
गरेको मस्यौदामाथिको
जेठमा सकियो
डिग्री उत्तरदेखि
तारिखका प्रचण्डले
राजनितिक ठोकेका
नम्बरको मोटरसाइकलमा
अभियुक्तहरुले काठमाडौँ
गौशाला पिङ्गलास्थानमा
लुटपाट गर्दागर्दै
महानगरीय प्रहरी
प्रभाग गौशालाबाट
महिलासहित पोसाकमा
खटिएको प्रहरी
टोलीले तत्काल
पक्राउ गरेको
पर्ने अहिले
पुसमा अन्तिम
स्पर्धा प्रतियोगितामा
प्रथम हुनेलाई
प्रतिभा उपाधिसहित
द्वितीय हुनेलाई
तृतीय हुनेलाई
पुरस्कारको व्यवस्था
गरिएको सान्त्वना
पुरस्कारस्वरूप दुईजनालाई
पुरस्कार दिइनेछ
पुसमा सिरहाको
चन्द्रोदयपुर सन्फी
औराहा पर्सास्थित
नेपाल राष्ट्रिय
प्राथमिक विद्यालयको
उद्घाटनमा पूर्वमन्त्री
सुरेन्द्र चौधरी
भारतीय वाणिज्यदूतलगायत
उच्चस्तरीय राजनीतिक
संयन्त्र निर्माण
लोकतान्त्रिक पार्टीका
मन्त्रीद्वारा राजिनामा
पैसामात्र देखियो
लगानीकर्ताहरु हुर्रिदै
आउँछन् प्रतिशत
रुपैयाँ फस्र्योट
गरेको प्रतिशत
अर्थात् रोपनी
मात्र ओगटेको
ग्रीनहिल सिटीमा
रोपनी बराबरको
क्षेत्रमा पर्याप्त
बगैंचा बनाएर
परिवार आनन्दले
सक्छन् प्रतिशत
अर्थात् परीक्षार्थी
उत्तीर्ण प्रतिशतले
मान्ने गरेका
प्रतिशत सालको
मतदाताको संख्याको
फागुनमा काठमाडौँमा
सम्पन्न स्मारक
सानमिगल एडिभिजन
अन्तिम निर्णायक
खेलको परिणामले
महेन्द्र पुलिस
क्लबलाई पहिलो
विजेता बनायो
फागुनः संविधान
तालिका संशोधन
बर्षकी पूर्व
अभिनेत्री सांदाले
सार्डिनियास्थित इटालियन
प्रधानमन्त्रीको भिल्लामा
पाहुनाहरुलाई युवतीद्धारा
गराएर स्वागत
गराएका बर्षयता
ओपनको अन्तिम
पुग्ने रावनिक
पहिलो क्यानेडियन
बनेका एपिएफकी
रञ्जन दर्जी
महर्जन मनमाया
पुलिसकी मेनुका
अन्तिम छनोटमा
सकेनन् बेलुकी
काठमाडौंको मध्यबानेश्वरमा
कमलसिंह नेपाली
मारिए संविधानसभाको
कार्यतालिका छैटौंपटक
संशोधन मङ्सिरमा
नेकपा एमालेका
स्थायी समिति
सदस्य पार्टीको
दैलेख जिल्ला
अधिवेशनमा फर्किए
मध्ये उत्कृष्ट
सहभागीका रूपमा
विज्ञान घोषित
महिनामा हाम्रो
भन्ने आइपुगेको
वित्त विकास
बैंकबाहेक कारोबार
समूहको परिसूचक
घटेकाले नेप्सेमा
नकारात्मक परेको
मन्त्रिपरिषद्बाट सहकारी
मन्त्रालय अन्तर्गत
अस्थायी दरबन्दी
सिर्जना च्यानल
नेपाल टेलिभिनजका
अध्यक्ष शाहको
लाजिम्पाटमा हत्या
बनाउँदा विकेट
गुमाइसकेको अवस्थामा
अफगानिस्तानको सम्हालेका
नैबले छक्का
चौकासहित सबैभन्दा
सामाजिकमा भान्टा
कम्पनीले व्यापार
गरिरहेका नेपाली
ग्याँस बजारमा
झ्ण्डै वर्षकी
गायिका गागालाई
विवाह योग्यको
सूचीमा पाँचौं
नम्वरमा राखिएको
वर्षपछिका कृष्ण
दाइमा परिवर्तन
सहजता सरलता
आकर्षक व्यक्तित्व
कवित्वले उज्यालिएको
ब्रिटिश सेनामा
बिताएका यिनले
बेलायत पाउँदा
परिवारसहित बस्ने
गरेका प्यास
मेटाउनेछौँ म्याराडोनाले
चाहना चाँडै
हुँदै वर्षीय
आदर्श जनमुक्ति
सेनामा भर्ती
वर्षीय इरीना
पहिलो स्पोर्ट्स
इलस्ट्रेटिड स्विमसूट
अंकमा देखापरेपछी
चर्चामा थिर्इन
वर्षीय महेन्द्र
त्रिभुवन विश्वविद्यालयमा
अंग्रेजी विषयमा
दोस्रो वर्षामा
अध्ययनरत मनीषा
कीर्तिपुरस्थित विश्व
राष्ट्रिय माविमा
कक्षा अध्ययरत
थिइन् वर्षीय
होम्स कोलोराडो
डेनभर विश्वविद्यालयका
स्नायु विज्ञानका
विद्यावारिधिका पूर्वछात्र
वर्षीया अनुसन्धानमा
थुनामा परेपछि
आफन्त अध्यागमन
विभागले सक्कल
कागजात पठाउन
जिल्ला प्रशासनलाई
लेखेको बोकेर
सिन्धुपाल्चोक आइपुगेका
वर्षुनिको जनसङ्ख्या
प्रतिशत रहेको
नेपालमा जङ्कफूड
उत्पादकको निशानामा
पर्दछ वर्षे
गल्फर सिजनमा
प्रतियोगिता खेलेका
वर्षे रहिमलाई
ओभरमा कुलासेकाराले
एलबिडब्लु वषर्ीय
नाडाललाई आफ्नो
शैलीको राम्रो
ज्ञान मात्र
ओपनको उपाधिसँगै
नवौँपटक ग्रान्डस्लाम
जित्नुका करियर
ग्रान्डस्लाम गरेका
विपन्न परिवारलाई
केन्द्र मार्फ
समुहहरुमा आवद्ध
गर्राई कारोवार
सञ्चालन गरिरहेको
कार्यकारी अध्यक्ष
न्यौपानेले जानकारी
दिनुभयो सहितको
रोबोट ग्रहा
पुगेको हिच्किचाउनेहरू
धर्मका नाममा
लाखौं सहयोग
सजिलै हुँदैछन्
अख्तियारद्वारा सुडान
घोटला प्रकरणमा
रुपियाँ भ्रष्टाचार
गरेको भन्दै
पूर्व्ाप्रहरीमहानिरक्षकसहित प्रहरी
अधिकृत ठेकेदारविरुद्ध
विशेष अदालतमा
मुद्दा लिनेले
वर्षमा सक्ने
तप्कालाई हेर्दा
सेडुल कास्टले
भन्दा कास्ट
हिन्दूले प्रतिमहिना
गुणाभन्दा गर्छन्
पुग्ने बताएपछि
कर्णेलले लेखापाल
सुवेदार तमानसिंह
थापालाई बोलाएर
ब्यारेकको सञ्चित
कोषबाट तलबमा
काट्दै मागेजति
दिलाए भन्दा
माध्यमिक विद्यालय
प्राविधिक जनशक्ति
उत्पादन गर्ने
शिक्षालय भन्दा
वर्षअघि बुद्धले
उठाएका अहिले
मावादीले उठाएका
कुरामा समानता
पाएपछि उनीहरू
भन्ने लागेको
बुद्धले मावादीले
जस्तो हिंसाको
सहारा लिएका
थिएनन् सम्ममा
भाडाका ट्याक्सीहरू
पाइने भएकाले
कोशीटप्पु आसपासका
क्षेत्रको भ्रमणमा
जानलाई गाह्रो
रेमिटेन्स नेपाल
पठाएको अनुमान
औषधिको छात्रवृत्ति
गरेकाले बालबालिका
विद्यालयसम्म पुग्ने
गरेका छात्रवृत्तिको
निक्कै बताउँछन्
मध्ये जनालाई
हिजोको जस्तै
निर्वाचन क्षेत्र
प्रतिनिधिका आधारमा
सकिन्छ लाग्ने
साधारण सदस्यता
प्रत्येक वर्षमा
नविकरण गराउनुपर्ने
प्रावधान राखेको
नविकरणका शुल्क
लाग्छ ब्याङ्कहरूले
ग्राहकलाई सहुलियत
सहमति गरेको
अवस्थामा त्योभन्दा
लाग्न सीमित
मोबिलिटी सुविधायुक्त
मोबाइल उपलब्ध
गराएको यात्रामा
चाहनेहरूले काठमाडौँबाटै
भारतीय बुकिङ
पाउने करसहित
सीमित मोबिलिटी
सुविधा यूटीएल
मोबाइल उपलब्ध
गराउने कम्पनीले
टोलीले बिहीबारको
प्रारम्भ गरेको
साउनमा मोडलिङको
महोत्सव मानिने
सनसिल्क सप्ताह
भएपछि राजधानीको
जगतमा सरगर्मी
बढेको केजीमा
अलिशाले स्वर्ण
मध्यपश्चिमाञ्चलकी सुजाता
महर्जनले मध्यमाञ्चलकी
ग्रिष्मा थापाले
काश्य कैदीमध्येबाट
नाइके बराबर
सहनाइके ब्लकमा
एकजना चौकीदार
राख्ने व्यवस्था
भण्डारीले थालेका
नम्बरको जनकपुरबाट
विराटनगरतर्फ आउादै
गरेको बुद्धजयन्तीको
अवसरमा बुझौं
खेलहरूमा लिगाको
शिर्षस्थानमा फिर्ता
लस्जलो कुबालालाई
क्लबमा अनुबन्धन
गर्नुले क्लबले
आफ्नो खेलमा
दर्शकहरूको भीडलाई
आकर्षित पछ्याएको
भारतले दिनको
समाप्ती विकेट
गुमाएर बनाएको
भारतका प्रारम्भिक
व्याट्सम्यानहरू राहुल
द्रविड भर्इसकेको
भारतको विकेट
रान्धिवले लिएको
