ប្លាតុង ក្នុងរូបាធិដ្ឋាននៃគុហារបស់លោក
ជាដរាប ក្នុងខ្សែបញ្ចទ្វារវីថិ
វាដាច់ចេញពីភវង្គ ងាកទៅរកទ្វារវិញ្ញាណ
មាន​បុរស​ប្តី​ប្រពន្ធ​បណ្តើរ​គ្នា​មក​ពី​ណា​ចោទ​ប្រកាន់​ថា ប្រាកដ​ជា​ម៉ែ​ឪឯង​ចែក​មក
មិន​សល់​ក្រ​អ្វី​នឹង​អញ្ជើញ​ទៅ​ឯនគរ​ខ្ញុំ​នោះ​ទេ ឲ្យ​តែ​លោក​លែង​ខ្ញុំ​ចុះ
ខ្ញុំ​នឹង​ធ្វើ​តម្រុយ​ជា​លំអាន​រហូត​ដល់​ទៅ​នគរ​ខ្ញុំ​ឯណោះ ឯង​ធ្វើ​តម្រុយ​បែប​ណា
មិន​សល់​ក្រ​អ្វី​នឹង​អញ្ជើញ​ទៅ​ឯនគរ​ខ្ញុំ​នោះ​ទេ ឲ្យ​តែ​លោក​លែង​ខ្ញុំ​ចុះ
ខ្ញុំ​នឹង​ធ្វើ​តម្រុយ​ជា​លំអាន​រហូត​ដល់​ទៅ​រនគរ​ខ្ញុំ​ឯណោះ ឯង​ធ្វើ​តម្រុយ​បែប​ណា
អាសំគម​បាញ់​លលក​ថា ខ្ញុំ​ក៏​មក​មើល​កូន​សេដ្ឋី​ដែរ
ចៅ​ខ្វាក់​ចៅ​ខ្វិន​ក្រាប​ទូល​តាម​ដំណើរ​សព្វ​គ្រប់ ស្តេច​ទ្រង់​ឲ្យ​ហៅ​នាង​ពៅ​មក​ឲ្យ​មើល
ហើយ​ទ្រង់​សួរថា ចៅ​នេះ​ឬ​ដែល​សម្លាប់​យក្ខ
ការបោះឆ្នោតជ្រើសរើសក្រុមប្រឹក្សាឃុំ សង្កាត់
អាណត្តិទី ត្រូវធ្វើនៅថ្ងៃអាទិត្យ
ខែមិថុនា ឆ្នាំ
រួមត្រូវជាសង្ស័យក្នុងបច្ចុប្បន្នប្រការ រួមកង្ខាទាំង
អនាគត បច្ចុប្បន្ន
ត្រូវជាយ៉ាងដូច្នេះ ស្គាល់
អនុសញ្ញា អន្តរ
ពីឈ្លើយ សម្រាប់
ព្រមមក ខ្ញុំ
ត្រូវ ពន្យល់
ប្រាប់ ពួកគេ
គ្មាន គ្រោះ
ថ្នាក់ ក្រែង​កុហក​អញ​ទេ​ដឹង
បើ​អស់​កម្លាំង​យ៉ាង​នេះ រប់​អស់​កម្លាំង​យ៉ាង​នេះ
តើ​ឲ្យ​យើង​ធ្វើ​ដូច​ម្តេច បាន​តាម​ប្រាថ្នា
គ្រាន់​តែ​បោយ​ថា ក៏​ស្រាប់​តែ​បាត់​អស់​រលីង
ប្រាកដ​ជា​ឯង​ឲ្យ​យើង​មែន​ឬ នាមជីវចល
នាមជីវចល នាមអជីវចល
គឺជានាមដែលសំគាល់ឈ្មោះអី្វមួយដែលមានជីវិតពីធម្មជាតិ ឧទាហរណ៏
មនុស្ស ឪពុកមា្តយ
ក្របី ហ្វីលីពីន
មួយ​ភ្លែត ម៉ែ​ទៅ​តែ​មួយ​ភ្លែត​នឹង​វិល​មក​វិញ​ហើយ
ហ្វីលីពីន ប្រហែលនៃផ្ទៃផែនដីទាំងមូល
ជំរៅជាមធ្យមគឺ ជំរៅជ្រៅបំផុតគឺ
នៅជ្រលងពឺតូរីកូ ទទឹងរបស់វាប្រែប្រួលពី
ប្រហែលនៃប្រជាជនឥណ្ឌូនេស៊ីជាជនជាតិជ្វា វាមានជំរៅជាមធ្យម
និងមានជំរៅអតិបរមា ផ្នែកអាគ្នេយ៍របស់សមុទ្រអង់ដាម៉ង់លយចូលទៅចន្លោះរវាង​
ឧបទ្វីបម៉ាឡេ កោះស៊ូម៉ាត្រា
បង្កើតបានជាច្រកម៉ាឡាកា វាជាសមុទ្រធំជាងគេបន្ទាប់ពីមហាសមុទ្រទាំង
ទ្រព្យទាំងអស់នេះស្ថិតនៅជាប្រយោជន៍សាធារណៈមិនអាចលក់ គ្មានកំណត់អាជ្ញាកាលទេ
ខេត្តកំពត ខេត្តកោះកុង
ហូរកាត់ប្រទេស កម្ពុជា
វៀតណាម ទន្លេមេគង្គកម្ពុជាមានប្រវែង
ហូរកាត់ប្រទេស កម្ពុជា
វៀតណាម ទន្លេមេគង្គកម្ពុជាមានប្រវែង
មានប្រជាជនរស់នៅសរុប ដង់ស៊ីតេប្រជាជន
ប្រព័ន្ធផ្លូវដែកមាន ភ្នំពេញ
ប៉ោយប៉ែតប្រវែង កសាងឆ្នាំ
ភ្នំពេញ ក្រុងព្រះសីហនុប្រវែង
កសាងនៅឆ្នាំ ឧបករណ៍ប្រើប្រាស់​ធើ្វ​អំពី​ថ្ម​ដែល​ចាស់​ជាងគេ
គឺ​ត្រូវបាន​គេ​រកឃើញ​នៅ​ប្រទេស​អេ​ទី​យ៉ូ​ពី នៅក្នុងឆ្នាំ
នៅក្នុងឆ្នាំ ឧទ្យាន
បង់ឡង់នេ វីនសេនេស
ត្រូវបានរាជការ បញ្ចូលជាឧបសម្ពន្ធ
នៅក្នុងទីក្រុង យកផ្ទៃដីរបស់វា
ត្រូវ ចំណាយ
ប៉ុន្មាន ដើម្បី
ប្រទេស វណ្ណៈមធ្យម
បញ្ញាវ័ន្ត ឡើងវិញ
សាក្សីជំនាញ ត្រូវ
ផ្អែក ឯកសារ
ច្រើន ប្រៀប
ការលេង ល្បែង
ប្រជាជាតិ ប៉ុន្តែ
ត្រូវ នយោបាយ
ច្បាប់ នោះទេ
ប្រឆាំង ពួកគេ
អារម្មណ៍ និយាយ
រងគ្រោះ ខ្មែរក្រហម
មានប្រើ ពាក់ព័ន្ធ
ធ្វើទារុណកម្ម ជ្រមុជ
ក្បាល ក្នុង
ម្ជុល ទម្លុះ
ស្បែក ក្រចក
ក៏ឌុច បដិសេធ
យើងមិន បានធ្វើ
ដូច្នោះទេ ឆ្លៀតយកផលចំណេញពីដីហុយនេះ
តើផលិតផលនាំមុខរបស់អ្នក កណ្តាលក្រុងប៉ៃលិននេះគឺជាអ្វី
ប្រកាស អហង្ការ
ថាយ៉ាងណា ខ្ញុំ
ភ្ញាក់ ផ្អើល
សេចក្តី សម្រេច
គ្រប់គ្នា ថ្ងៃទី
ខែធ្នូ ខ្ញុំ
ម្នាក់ ពួកគេ
ត្រូវ នោះទេ
ពួកគេ ត្រូវ
ថ្ងៃនោះ តែម្តង
ក្រាបទូលថា បពិត្រព្រះឣង្គដ៏ចម្រើន
ខ្ញុំម្ចាស់ដឹង នែនាងកុមារិកា
តើនាងដឹងមែនឬ ក្រាបទូលថា
បពិត្រព្រះឣង្គដ៏ចម្រើន ខ្ញុំម្ចាស់មិនដឹងទេ
នែនាងកុមារិកា តើនាងទៅទីណា
ក្រាបទូលថា បពិត្រព្រះឣង្គដ៏ចម្រើន
ខ្ញុំម្ចាស់មិនដឹងទេ នែនាងកុមារិកា
តើនាងមិនដឹងទេឬ ដុល្លារអាមេរិក
សម្រាប់ ប្រតិបត្តិការ
សម្អាត ក្នុង
ខេត្ត សៀមរាប
ឧត្តរមានជ័យ ជំនួយ
មជ្ឈមណ្ឌល សកម្ម
កំចាត់ កម្ពុជា
កម្ពុជា រំដោះ
ផ្ទៃដី ជំរៅមិនលើសម៉ែត
ទន្លេនេះផ្ដល់នូវការផលិតថាមពលវារីអគ្គីសនី ការដឹកជញ្ជូនឈើហ៊ុប
កសាងឡើង​ដោយ​ព្រះបាទ​ឥន្ទ្រ​វរ្ម័នទី រីឯ​ប្រាសាទ​ល​លៃ​វិញ
សន្និដ្ឋាន ជាចុងក្រោយ
សាទរថា ស្តែង
ច្បាប់ ប៉ុន្តែ
ត្រូវ ដូចម្តេច
ក៏ដូច មនុស្ស
គ្រប់ ខ្ញុំ
ផ្តើម ជាមួយគំនិត
ខ្មែរ ក្រហម
ឧក្រិដ្ឋ ដ៏សាហាវ
ឃោរឃៅ ប្រទេស
ជាតិធ្លាក់ចូល ជ្រោះ
ប្រជារាស្រ្ត ទុក្ខវេទនា
ខ្ញុំ ឆ្នាំ
ពាក្យ ស្វិត
ស្រួយ គឺ​សុទ្ធ​តែ​ជា​ពាក្យ​ប្រាប់​លក្ខណៈ​ទៅ​ឲ្យ​នាម
មនុស្ស មាន​ច្រើន​យ៉ាង​ណាស់​ដូច​ជា
ក្រុម គាំទ្រ
សាលាក្តី ខ្មែរក្រហម
ការពារ លើលក្ខណៈ
គ្មានគេដូច មានតែមួយរបស់
សាលាក្តី ការគោរព
សិទ្ធិ សវនាការប្រកបដោយ
សមធម៌ សន្តិភាព
យុត្តិធម៌ ជម្ងឺ
ផ្លូវ ដង្ហើម
ប្រតិកម្មស្បែក សុខភាព
ខ្សោយ អាឡេវ
ធ្វើ​ជា​យំ​ខ្លាំង​ឡើង​ទៀត ម្តាយ​ឃើញ​កូន​រឹត​តែ​យំ​ខ្លាំង​ឡើង​ដូច្នោះ
ក៏​ស្ទុះ​ទៅ​ឱប ហើយ​បើក​សំពត់​អំពី​ក្បាល​កូន​ចេញ
ឃើញ​ក្បាល​កោរ​រលីង រឹត​តែ​សង្ស័យ
ក៏​បាន​ជា​កោរ​សក់​ហើយ​យំ​ដូច្នេះ អាឡេវ​ថា
បើ​ឲ្យ​ពីរ​បាទ​នោះ​អញ​រក​ស្រី​ក្រមុំ​សៗ​ល្អៗ យើងនឹង
ប៉ុន្តែ ក្នុង
លក្ខខណ្ឌ ផ្តល់អោយ
តិចពេក នៅដីក្រហម
ដូចនេះ គេបាន
កាសែតៈ តើការ
ចូលរួម បណ្តឹង
ប្បវេណី ត្រូវ
កំណត់ ដូចម្តេច
ម្ដាយឬ ឪពុកខាងស្រីសួរឈ្មោះកូនប្រុស
ពូជពង្ស គ្រួសារ
គេមានកូនប៉ុន្មាននាក់ ប្រុសប៉ុន្មាន
ស្រីប៉ុន្មាន កានយ៉ាផ្វស្ថ៍ណឺរ
បារាំង អាហ៊្វ្រិក
សង្គ្រាមលោកលើកទីមួយ សារព័ត៌មានប្រវត្តិសាស្ត្រអាហ៊្វ្រិក
លាននាក់ មនុស្សជាច្រើន​លាន​នាក់​ទៀត​ដែល
គាត់​និង​អ្នកនៅក្រោមបង្គាប់របស់​គាត់​បាន​គិតថា ជាពួកដែលមាន​ជាតិ​សាសន៍អន់​ជាង
លាននាក់ រស់នៅតំបន់នេះ
ដុល្លារ ក្នុង​មួយ​ថ្ងៃ​
នៅ​ឆ្នាំ​ ​ប្រជាជន​
អាសំគម​បាញ់​លលក​បាន​ឱកាស ក៏​តាំង​លូក​ប្រឡែង​ស្ទាប​អង្អែល
ដោយ​សេចក្តី​ស្រឡាញ់​ដរាប​ដល់​បាន​រួម​ដំណេក ជា​មួយ​នឹង​នាង​ក្រមុំ​ទាំង​ពីរ​នាក់​នោះ​ទៅ
ឧទាហរណ៏ ថៃ្ងនេះខ្ញុំនឹកអ្នកខ្លាំងណាស់
ខ្ញុំចង់ជួបអ្នកៗៗៗៗៗៗៗ ផ្ចង់អារម្មណ៏លើខ្យល់ដងើ្ហមចេញ
ចូលរបស់អ្នកហើយពោលពាក្យដែលអ្នកបានជើ្រស យកនោះមកនិយាយប្រមាណ
គេសាងប្រាសាទអំពីឥដ្ឋនៅឡើយ ប៉ុន្តែ​
គេកសាង ប្រាង្គជាច្រើននៅខឿនតែមួយ
ព្រះគោលៃ ដើម្បីឩទ្ទិសចំពោះបុព្វបុរសមានព្រះមាតាបិតាជាដើម
គ្រូរបស់ ដូមីនិក
សាវីយ៉ូ គឺពុកចនបូស្កូ
គាត់បានស្រលាញ់ និងមើលការខុសត្រូវដល់សិស្សរបស់គាត់យ៉ាងមឹងម៉ាត់
ហើយនឹងបានសរសេរនូវជីវប្រវត្តិពីជីវិតរបស់ ដូមីនិក
សាវីយ៉ូ ទៀតផង
ព្រះថេរៈ បានឆ្លើយថា
ខ្ញុំព្រះករុណា ទៅរកឣាចារ្យរបស់ខ្ញុំព្រះករុណា
ក្រោយមក ព្រះថេរៈ
បានសម្រេចនូវព្រះឣរហត្តផល ពួកភិក្ខុទាំងឡាយ
បានសួរព្រះថេរៈ ឥឡូវនេះ
ម្តេចក៏លោកម្ចាស់មិនទៅរកឣាចារ្យ ដូចពេលមុនទៀត
ព្រះថេរៈ បានឆ្លើយថា
ខ្ញុំទៅរកលោកឣាចារ្យរបស់ខ្ញុំ ក្រោយមក
ព្រះសន្តកាយត្ថេរ បានសម្រេចនូវឣរហត្តផល
ហើយមិនបាននិមន្តទៅកន្លែងនោះទៀតទេ ភិក្ខុទាំងឡាយ
បានសួរព្រះថេរៈ ទៀតថា
ហេតុអ្វីបានជាលោកឯង មិននិមន្តទៅរកលោកឣាចារ្យ
ដូចជាកាលពីមុនទៀត លុះ​ឮ​កូន​ថា​ដូច្នោះ
ក៏​គក់​ទ្រូង​ស្រែក​ទួញ​យំ​អាឡោះ​អាល័យ រៀប​រាប់​ពី​កាល​ចាប់​ដៃ​គ្នា​បាន​ជា​ប្តី​ប្រពន្ធ​រៀង​រាបដរាប​មក
អាឡេវ ឃើញ​ម្តាយ​យំ​សង្រេង​សង្រៃ​ដូច្នោះ
ក៏​អង្វរ​លួង​លោម​ម្តាយ​ថា បន្ទាប់មក
ពន្យល់ ហេតុផល
ប្រសប់ យ៉ាងណា
ក្នុង ខ្ញុំ
ម៉ាឡេស៊ីហើយ នៅទីនោះ
បន្ទប់ សូត្រ
សូម្បី តែក្នុងផ្សារ
តាមផ្លូវ លោកបន្ថែម
ចង់ឡកឡើយថា ភាគីថៃបិទបើកច្រកទ្វារ
តាមតែទំនើងចិត្តរបស់ ប្រាប់​តាម​ដំណើរ​សព្វ​គ្រប់​ប្រការ
សុភាទន្សាយ​សួរ​ថា ខ្ញុំលឺថា
មានស្រ្ដីច្រើនណាស់រក្សាទុកសេចក្ដីបរិសុទ្ធរបស់ខ្លួន ស្រ្ដីៗច្រើនតែឆាប់ចាស់ណាស់
ពីព្រោះតែគេឆាប់មានប្ដី មានកូនពេក
មនុស្សដែលមានអាយុ គឺប្រហែលគ្នានឹងជនជាតិចិនដែលមានអាយុ
ឆ្នាំដូច្នោះដែរ ព្រះសាស្តា
ទៅតាមផ្លូវឣាកាស ឣានន្ទ
តើភិក្ខុទាំងនោះជាព្រះឣរហន្តមែនឬ គីឡូម៉ែត្រ
ក្រឡា សម្រាប់
ធ្វើការ បង្កបង្កើនផល
សម្រាប់ ជំនួយ
ចំនួន អឺរ៉ូ
ព្រះសាស្តា ទ្រង់ត្រាស់
ម្នាលឣានន្ទ ភិក្ខុ
រូបនោះ បានចេញទៅឣស់ហើយ
ឣានន្ទ លោកនិមន្តចេញទៅតាមផ្លូវណា
ព្រះសាស្តា ទ្រង់ត្រាស់ថា
បពិត្រព្រះមហារាជ តថាគត
ធ្វើយ៉ាងនេះ គឺធ្វើទៅតាមព្រះរាជវង្ស
ព្រះបាទសុទ្ធោទនៈ ទ្រង់មានព្រះកង្ខា
ហើយទ្រង់ត្រាស់សួរថា នេះគឺជាវង្ស
របស់ពួកយើងពិតមែនឬ ព្រះសាស្តា
ស្តេចយាងមកហើយ ត្រាស់ថា
ម្នាលភិក្ខុទាំង ព្រាហ្មណ៍ទាំង
នាក់នេះ ធ្លាប់បានកើតជាមាតាបិតាបង្កើតរបស់តថាគត
ឣស់កាលបីពាន់ជាតិមកហើយ ក្នុងឣតីតកាល
ព្រះសាស្តា ទ្រង់បានជ្រាបថា
បុរសនេះ គឺពិតជាមារាធិរាជ
ទ្រង់ត្រាស់ថា នែមារាធិរាជ
តើឣ្នកចង់បានត្រើយនោះទៅធ្វើអ្វី ចិន​ឆ្លើយ​ថា
អាឡេវ​ថា តើ​ឲ្យ​ប្រាក់​អញ​ប៉ុន្មាន
ចិន​ឆ្លើយ​ថា អាឡេវ​ថា
តើ​ឲ្យ​ប្រាក់​អញ​ប៉ុន្មាន ប្រពាល​រ័ត្ន
កែវ​ប្រពាល មណី​រ័ត្ន
ពេជ្រ​មាន​តម្លៃ សម្រាប់​ស្ដេច​ចក្រ​ពត្តិ
មហា​បុរស​រ័ត្ន ក្រៅពីនេះទៀត
ព្រះពោធិសត្វ ដែលមានការបដិបត្តិតិចជាង
និងអ្នកដែលបានបំពេញ កុសលតូចៗ
ដែលមានចំនួនមិនអាចធ្វើលេខបាន ក៏នឹងទៅកើតនៅទីនោះដែរ
រួមមកត្រូវជា សង្ស័យក្នុងអតីតប្រការ
ចំពោះរបស់នោះ គេស្ថិតនៅក្នុងភាពមិនស្រឡាញ់មិនស្អប់
មិនជាប់ជំពាក់ រួចរំដោះ
មិនទាក់ទង និងប្រកបដោយការយល់ដឹងគ្មានឧបស័គ្គ
គេយល់ដឹងថា នៅមានការរំដោះខ្លួនឆ្ងាយទៀត
ហើយការតាមរកឲ្យបានការរំដោះនៅទីនោះ ពិតជាសម្រាប់ខ្លួនរបស់គេ
ប្រជុំជនខេត្ត និងទទឹងអាង
អាចផ្ទុកទឹកបានចំនួន ក្រុង​កំពត
រមណីយដ្ឋាន​នេះ​ជា​ថ្មភ្នំ មាន​រូង​ភ្នំ​ប្រកប​ដោយ​ល្អាង​តូចធំ​ជាច្រើន
នៅទីនោះមានល្អាងមួយមានវិជ្ជមាត្រ ប្រមាណម
ហើយមានពណ៌ ផ្សេងៗគ្នា
កុមារាទាំងនោះ បានក្រាបទូលថា
បពិត្រព្រះឣង្គដ៏ចម្រើន ខ្ញុំព្រះករុណាទាំងឡាយ
នាំគ្នាវាយពស់ ព្រះសាស្តាទ្រង់ត្រាស់សួរទៀតថា
ព្រោះហេតុអ្វីបានជាវាយវា លុះ​ព្រឹក​ឡើង
ខ្សឹប​ប្រាប់​ម្តាយ តាម​ដំណើរ​
ដែល​លប​ស្ទាប​ប្តី​សព្វ​គ្រប់ ម្តាយ​ឮ​ហើយ
ដក​ដង្ហើម​ធំ​ថា នៅហោព្រះខ័ននេះ
ត្រូវបានក្រុមបារគូ រៀបចំអាសនៈ
ថ្វាយទេវតាខាងព្រហ្មញ្ញសាសនា ព្រះសិវៈ
ព្រះវិស្ណុ ព្រះចន្ទ
ព្រះគណេស ព្រះកម្ចាយ
ធ្វើតាមសភាវគតិ អ្នកនឹងប្រព្រឹត្តទង្វើដដែលៗ
ជាប្រចាំ ប្រើប្រាស់ព្រលឹង
ប្រាជ្ញា អ្នកនឹងវិឌ្ឍន៍គំនិត
ទង្វើប្លែកៗជាដរាប កូន​សិស្ស​ទូ​ថា
អមបិល​ទុក​បាន​យូរ បាន​ជា​ខ្ញុំ​ព្រះ​ករុណា​ទិញ
គ្រូ​ឆោត​ល្ងង់​ណាស់​ក៏​ស្ងៀម ព្រះថេរៈឆ្លើយថា
ត្រូវបុរសម្នាក់វាយធ្វើបាប ភិក្ខុទាំងឡាយ
បានសួរទៀតថា តើលោកម្ចាស់
បានក្រោធខឹង នឹងឣ្នកវាយដែរឬទេ
ខ្ញុំ​ម្ចាស់​យក​មក​ថ្វាយ​ព្រះអង្គ ស្តេច​ទ្រង់​ជ្រាប
ទ្រង់​ឲ្យ​ហៅ​ព្រះ​រាជបុត្រី​ថា​មហេសី​ស្តេច​កំសត់ ហើយ​មាន​ព្រះ​បន្ទូល​ថា
ប្រព័ន្ធផ្លូវដែក មុនឆ្នាំ
ការដឹកជញ្ជូនតាមផ្លូវដែកមានឈ្មោះថា រាជាយស្ម័យយានកម្ពុជា
ប្រវែងផ្លូវដែកមានប្រវែងសរុប គមនិងទទឹងម៉ែត្រនិងមានស្ពានគ្រប់ប្រភេទប្រវែង
ជម្រាប​ទៅ​ហោរ​វិញ​ថា ខ្ញុំ​មក​នេះ
មាន​ការ​បន្តិច សូម​លោកគ្រូ​មេត្តា​ករុណា​ចុះ
ក្នុងអាស៊ីខាងកើត ការប្រៀនប្រដៅទាំងនេះ
រីកចំរើនទៅក្នុង មណ្ឌលសិក្សាផ្សេងៗចំនួន
ហើយភាគធំស្ថិតនៅសំខាន់ រហូតសព្វថ្ងៃនេះ
ហ្សេន តានត្រិក
និងដែនដីបរិសុទ្ធ ដែនដីបរិសុទ្ធជាបែបព្រះពុទ្ធសាសនា
ដែលរីកចំរើនខ្លាំងបំផុត ក្នុងអាស៊ីខាងកើត
ក៏​បាន​ប្ដឹង​តាម​ដំណើរ​រៀងៗ​ខ្លួន គេ​ត្រូវ​យក​សញ្ញា
មក​ជំនួស​ធ្មេញ​កណ្ដុរ​ ដើម្បី​កុំ​ឲ្យ​វណ្ណយុត្តិ​នេះ
គេ​ត្រូវ​យក​សញ្ញា មក​ជំនួស​ធ្មេញ​កណ្តុរ​
ដើម្បី​កុំ​ឲ្យ​វណ្ណយុត្តិ​នេះ ឧទាហរណ៍
រឹងប៉ឹង ឲ្យ​អាហារ​ជា​ទាន​
បើប្រើជាមួយគុណនាម និយាយអំពីពណ៌នោះ
ពាក្យស្ទួនដោយប្រើលេខទោ ចង់បញ្ជាក់អំពីប្រភេទពណ៌
ដោយឡែកៗរបស់វត្ថុ ព្រះអនាគាមិបុគ្គល
លោកបរិបូណ៌ដោយសមាធិ ខាង​ផ្នែក​នព្វន្ត
គេ​ប្រើ​សញ្ញា​ជើង​ក្អែក​ជា​សញ្ញា​បូក ឧទាហរណ៍
មេ​ខ្មោច​ប្រាប់​ថា ខ្ញុំ
អាប៉ាង​ថា ប្រហែល​ជា​ខ្មោច​ទេ
មេ​ខ្មោច​ឆ្លើយ​ថា ខ្មោច​ថា​មិន​ខ្មោច
អាប៉ាង​សួរ​ថា ហោង​ឯង​ឈ្មោះ​អី
អាឡេវ​ឆ្លើយ​ឡើង​ថា ឪកុំ​ព្រួយ
សឹម​ខ្ញុំ​ទៅ​រក​ដណ្តឹង​ជូន ដូច្នោះ
លាន​គីឡូម៉ែត្រការ៉េ ដោយ​រួមបញ្ចូល​ទាំង​បណ្ដា​កោះ​នៅ​ជិតៗ​ផង
ដែល​គ្របដណ្ដប់​ប្រមាណ ផែនដី
អយល័រ​បាន​រក​ឃើញ​ថា គេ​មិន​អាច​ធ្វើ​ដូច្នេះ​បាន​ទេ
ក្នុង​ករណី​នេះ​ គេ​មិន​អាចរក​​បាន​នូវ
សៀគ្វី​អយល័រ​បាន​ឡើយ ដំណោះស្រាយ​នេះ​ត្រូវ​បាន​គេ​ចាត់ទុក​ថា​ជា​ទ្រឹស្ដី​ក្រាប​ដំបូង​គេ​
ហើយ​ជា​ពិសេស​ជា​ទ្រឹស្ដី​ទីមួយ​នៃ​ទ្រឹស្ដី​ក្រាប​ប្លង់ អាឡេវ​ប្រាប់​ម្តាយ​ថា
ខ្ញុំ​បាន​ពឹង​អ្នក​ស្រុក ឲ្យ​គេ​ជួយ​រៀប​បញ្ចុះ​ខ្មោច​ឪរច​ល្អ​ល្អិត​ហើយ
នាង​ង៉ោះ​ឮ​កូន​ថា​ដូច្នោះ ក៏​ម្នីម្នា​រៀប​ធ្វើ​អន្សម​នំ​គម​ចំណី​ចំណុក
ហើយ​និយាយ​នឹង​អាឡេវ​ថា អាឡេវ​ប្រាប់​ម្តាយ​ថា
ខ្ញុំ​បាន​ពឹង​អ្នក​ស្រុក ឲ្យ​គេ​ជួយ​រៀប​បញ្ចុះ​ខ្មោច​ឪរួច​ល្អ​ល្អិត​ហើយ
នាង​ង៉ោះ​ឮ​កូន​ថា​ដូច្នោះ ក៏​ម្នីម្នា​រៀប​ធ្វើ​អន្សម​នំ​គម​ចំណី​ចំណុក
ហើយ​និយាយ​នឹង​អាឡេវ​ថា បើ​ប្រើ​ជា​មួយ​គុណនាម
​និយាយ​អំពី​ពណ៌​នោះ​ ពាក្យ​ស្ទួន​ដោយ​ប្រើ​លេខ​ទោ​
ចង់​បញ្ជាក់​អំពី​ប្រភេទ​ពណ៌ ដោយ​ឡែកៗ​របស់​វត្ថុ
ឯព្រះត្រៃបិដកអក្សរសៀម យើងមិនបានឆ្លើយក្នុងនយលក្ខណៈទេ
ព្រោះមានទំនងដូចគ្នានឹងច្បាប់អក្សរខមដែរ បើក្នុងច្បាប់អក្សរខមក្តី
អក្សរសៀមក្តី មានបាលីផ្សេងគ្នាខ្លះដោយអន្លើៗនោះ
យើងយោងលេខឆ្លើយមកក្នុងលក្ខណៈ ប្រាប់ដំណើរដែលផ្សេងគ្នាដែរ
បុរស​កំសត់​ក្រាប​ទូលថា ទូល​ព្រះ​បង្គំ​ជា​ខ្ញុំ
ជា​កូន​មហាសេដ្ឋី​ឈ្មោះ​នោះ ស្តេច​មាន​ព្រះ​បន្ទូល​ឲ្យ​ទៅ​ហៅ​មហាសេដ្ឋី
ដែល​ជា​ចៅ​ហ្វាយ​បុរស​កំសត់​នោះ​មក​ទ្រង់​មាន​ព្រះ​បន្ទូល​សួរ​ថា សល់ពី​នេះ​ជា​ផ្លូវ​លំ
ផ្លូវជាតិ​សំខាន់ៗ​រួម​មាន ផ្លូវជាតិ​លេខ
ពីភ្នំពេញ ​ទៅ​ព្រំប្រទល់​វៀតណាម
និង​ស្វាយ​រៀង មានប្រវែង
ភិក្ខុទាំងនោះក្រាបទូលថា បពិត្រព្រះឣង្គដ៏ចម្រើន
ខ្ញុំព្រះករុណាទាំងឡាយ មិនបានឃើញព្រះថេរៈទេ
